%DataLog%
DataLogVersion : 1.0
Software : ECU Manager
SoftwareVersion : 1.1.14.0
DownloadDateTime : 20180719 08:16:31
Channel : AFRDifference
Type : AFR
DisplayMaxMin : 150,-150
Channel : BatteryVoltage
Type : BatteryVoltage
DisplayMaxMin : 16000,8000
Channel : EngineRunningTime
Type : Time_s
DisplayMaxMin : 10000,0
Channel : IgnitionTiming
Type : Angle
DisplayMaxMin : 600,-200
Channel : CurrentDutyCycle
Type : Percentage
DisplayMaxMin : 1000,0
Channel : Load
Type : Pressure
DisplayMaxMin : 1013,13
Channel : IgnitionLoad
Type : Pressure
DisplayMaxMin : 1013,13
Channel : ShiftLight1
Type : Raw
DisplayMaxMin : 1,0
Channel : AirTemp
Type : Temperature
DisplayMaxMin : 4231,2331
Channel : CoolantTemp
Type : Temperature
DisplayMaxMin : 4231,2331
Channel : MAPSource
Type : Pressure
DisplayMaxMin : 1013,13
Channel : LambdaSensor1
Type : AFR
DisplayMaxMin : 2000,200
Channel : ThrottlePosition
Type : Percentage
DisplayMaxMin : 1000,0
Channel : BaseFuel
Type : Percentage
DisplayMaxMin : 2000,0
Channel : BaseIgnition
Type : AngleIgnSprt2K
DisplayMaxMin : 800,0
Channel : TargetAFR
Type : AFR
DisplayMaxMin : 2000,200
Channel : FuelAirTempCorrection
Type : Percentage
DisplayMaxMin : 500,-500
Channel : FuelCoolantTempCorrection
Type : Percentage1For1
DisplayMaxMin : 250,-100
Channel : IgnitionCoolantTempCorrection
Type : AngleOffset10deg
DisplayMaxMin : 200,-200
Channel : IgnitionAirTempCorrection
Type : Angle
DisplayMaxMin : 100,-100
Channel : RPM
Type : EngineSpeed
DisplayMaxMin : 10000,0
Channel : TransientThrottleAccelCoolantCorr
Type : Percentage
DisplayMaxMin : 3000,0
Channel : TransientThrottleEnrichSensitivity
Type : Time_us
DisplayMaxMin : 9500,0
Channel : TransientThrottleEnrichDecayRate
Type : msPerEngCyl
DisplayMaxMin : 1000,0
Channel : TransientThrottlePercentageAsync
Type : Percentage
DisplayMaxMin : 1000,0
Channel : TransientThrottlePercentageEnrich
Type : Percentage
DisplayMaxMin : 1000,0
Log : 20180719 07:42:45
07:42:45.000,30,13184,51,261,24,428,428,0,3018,3162,429,0,1,350,0,1000,0,0,0,0,984,0,0,0,0,0
07:42:45.062,10,13153,51,263,23,425,425,,,3161,424,,,345,,,,,,,977,,,,,
07:42:45.140,10,13184,52,,24,425,425,,,3162,424,990,,348,316,,,,194,50,1010,370,2743,260,799,
07:42:45.156,,,,260,,,,,,,,,,,,,,,,,,,,,,
07:42:45.234,-15,13137,,262,23,420,420,,,,419,1015,1,341,318,,,,,,1006,369,2746,262,800,
07:42:45.312,-13,13137,,266,,418,418,,,,418,1013,0,337,322,,,,,,980,,2743,,800,
07:42:45.390,-2,13231,,262,,419,419,,,,420,1002,1,340,318,,,,,,1006,,2731,,798,
07:42:45.469,0,13153,,264,23,418,418,,,,418,1000,0,337,320,,,,,,993,,2729,,798,
07:42:45.547,9,13231,,263,22,417,417,,,,418,991,,337,319,,,,,,1004,,2750,,800,
07:42:45.625,3,13216,,264,23,417,417,,,,417,997,0,336,320,,,,,,994,,2750,,800,
07:42:45.703,9,13137,,262,24,419,419,,,3162,419,991,1,344,318,,,,,,1025,,2728,,798,
07:42:45.781,10,13169,,264,23,414,414,,3018,3163,415,990,1,335,320,,,,,,1013,,2730,,798,
07:42:45.859,12,13200,,,,412,412,,3019,3162,412,988,0,337,,,,,,,1030,,2728,,796,
07:42:45.937,11,13200,,,23,412,412,,3019,3163,412,989,0,334,,,,,,,1019,,2720,,796,
07:42:46.015,17,13216,52,264,22,408,408,,3018,,409,983,1,332,320,,,,,,1006,369,2739,262,800,
07:42:46.094,14,13122,53,268,,412,412,,3018,,412,986,,329,324,,,,,,969,368,2743,264,,
07:42:46.172,18,13153,,269,,418,418,,3019,,418,982,1,335,325,,,,,,953,,2743,,,
07:42:46.250,17,13216,,266,,,,,3018,,418,983,0,336,322,,,,,,979,,2750,,,
07:42:46.328,9,13216,,270,,418,418,,,,419,991,0,335,326,,,,,,949,,2750,,,
07:42:46.406,10,13231,,270,,421,421,,3018,,420,990,1,338,326,,,,,,935,,2743,,,
07:42:46.484,14,13184,,268,22,426,426,,3019,,426,986,0,344,324,,,,,,938,,2750,,,
07:42:46.562,14,13309,,265,23,428,428,,3019,,428,986,0,348,321,,,,,,956,,2750,,,
07:42:46.640,8,13294,,266,22,427,427,,3018,,428,992,1,346,322,,,,,,949,368,2743,264,,
07:42:46.719,9,13247,,263,23,427,427,,3019,3163,427,991,1,347,319,,,,,,970,367,2750,266,,
07:42:46.797,16,13262,,258,24,429,429,,,3164,430,984,0,352,314,,,,,,1003,368,2743,264,,
07:42:46.875,14,13231,,262,23,424,424,,,,424,986,1,345,318,,,,,,990,367,,266,,
07:42:46.953,13,13231,,263,23,427,427,,3019,,428,987,0,347,319,,,,,,972,,2743,,800,
