%DataLog%
DataLogVersion : 1.0
Software : ECU Manager
SoftwareVersion : 1.1.14.0
DownloadDateTime : 20180720 08:21:44
Channel : AFRDifference
Type : AFR
DisplayMaxMin : 150,-150
Channel : BatteryVoltage
Type : BatteryVoltage
DisplayMaxMin : 16000,8000
Channel : EngineRunningTime
Type : Time_s
DisplayMaxMin : 10000,0
Channel : IgnitionTiming
Type : Angle
DisplayMaxMin : 600,-200
Channel : CurrentDutyCycle
Type : Percentage
DisplayMaxMin : 1000,0
Channel : Load
Type : Pressure
DisplayMaxMin : 1013,13
Channel : IgnitionLoad
Type : Pressure
DisplayMaxMin : 1013,13
Channel : ShiftLight1
Type : Raw
DisplayMaxMin : 1,0
Channel : AirTemp
Type : Temperature
DisplayMaxMin : 4231,2331
Channel : CoolantTemp
Type : Temperature
DisplayMaxMin : 4231,2331
Channel : MAPSource
Type : Pressure
DisplayMaxMin : 1013,13
Channel : LambdaSensor1
Type : AFR
DisplayMaxMin : 2000,200
Channel : ThrottlePosition
Type : Percentage
DisplayMaxMin : 1000,0
Channel : BaseFuel
Type : Percentage
DisplayMaxMin : 2000,0
Channel : BaseIgnition
Type : AngleIgnSprt2K
DisplayMaxMin : 800,0
Channel : TargetAFR
Type : AFR
DisplayMaxMin : 2000,200
Channel : FuelAirTempCorrection
Type : Percentage
DisplayMaxMin : 500,-500
Channel : FuelCoolantTempCorrection
Type : Percentage1For1
DisplayMaxMin : 250,-100
Channel : IgnitionCoolantTempCorrection
Type : AngleOffset10deg
DisplayMaxMin : 200,-200
Channel : IgnitionAirTempCorrection
Type : Angle
DisplayMaxMin : 100,-100
Channel : RPM
Type : EngineSpeed
DisplayMaxMin : 10000,0
Channel : TransientThrottleAccelCoolantCorr
Type : Percentage
DisplayMaxMin : 3000,0
Channel : TransientThrottleEnrichSensitivity
Type : Time_us
DisplayMaxMin : 9500,0
Channel : TransientThrottleEnrichDecayRate
Type : msPerEngCyl
DisplayMaxMin : 1000,0
Channel : TransientThrottlePercentageAsync
Type : Percentage
DisplayMaxMin : 1000,0
Channel : TransientThrottlePercentageEnrich
Type : Percentage
DisplayMaxMin : 1000,0
Log : 20180720 07:43:02
07:43:02.000,-25,12809,68,242,23,407,407,0,3085,3258,408,0,0,339,0,1000,0,0,0,0,1040,0,0,0,0,0
07:43:02.031,-21,12778,,,,406,406,,,,406,,,336,,,,,,,1027,,,,,
07:43:02.094,,12809,,,,406,406,,,,,1016,,337,320,,,,175,47,1032,273,2721,454,796,
07:43:02.110,-16,,,,,,,,,,,,,,,,,,,,,,,,,
07:43:02.172,-19,12793,,,,407,407,,,,406,1019,,337,,,,,,,1034,,2725,,796,
07:43:02.266,-31,12715,,,23,404,404,,,,404,1031,,336,,,,,,,1031,,2705,,794,
07:43:02.344,-30,12668,,,22,403,403,,,,403,1030,0,332,,,,,,,1008,,2738,,799,
07:43:02.422,-26,12668,68,,23,406,406,,3085,3258,405,1026,1,333,,,,,,,1014,273,2740,454,799,
07:43:02.500,-26,12762,69,,,406,406,,3086,3260,406,1026,0,335,,,,,,,1024,271,2717,458,795,
07:43:02.578,-20,12762,,,,407,407,,3085,3258,407,1020,0,335,,,,,,,1022,271,2725,458,796,
07:43:02.656,-25,12825,,,23,404,404,,,,405,1025,1,338,,,,,,,1037,273,2723,454,796,
07:43:02.735,-5,12778,,,24,405,405,,3085,3258,403,1005,0,341,,,,,,,1054,271,2701,458,793,
07:43:02.813,-5,12809,,,23,403,403,,3086,3260,,1005,,336,,,,,,,1029,,2729,,797,
07:43:02.891,-12,12825,,,24,403,403,,3085,,403,1012,,340,,,,,,,1048,,2714,,794,
07:43:02.969,-13,12809,,,24,402,402,,3085,,400,1013,,341,,,,,,,1055,,2709,,793,
07:43:03.047,-19,12731,,,23,405,405,,3086,,405,1019,,334,,,,,,,1017,,2726,,797,
07:43:03.125,-18,12809,,,24,403,403,,3086,,403,1018,,340,,,,,,,1048,,2726,,796,
07:43:03.203,-15,12825,,,23,402,402,,3085,,402,1015,,338,,,,,,,1039,,2714,,795,
07:43:03.281,-23,12746,,,23,403,403,,3086,,402,1023,,336,,,,,,,1027,,2723,,796,
07:43:03.375,-29,12778,,,22,405,405,,3086,,404,1029,,333,,,,,,,1013,,2734,,799,
07:43:03.453,-27,12762,69,242,,404,404,,3085,3260,404,1027,0,332,320,,,,,,1007,,2750,,800,
07:43:03.531,-23,12809,70,244,,407,407,,3086,3261,407,1023,1,330,322,,,,,,990,,2750,,,
07:43:03.610,-23,12762,,243,,412,412,,3085,3261,412,1023,0,,321,,,,,47,997,271,2743,458,,
07:43:03.688,-37,12809,,242,,410,410,,,3260,410,1037,,330,321,,,,,46,998,270,2750,460,,
07:43:03.766,-17,12778,,245,22,417,417,,,3261,417,1017,,335,324,,,,,,966,,,,,
07:43:03.875,-18,12825,,241,23,418,418,,,,418,1018,,337,320,,,,,,997,,2750,,800,
07:43:03.953,3,12809,,240,,416,416,,3085,,416,997,,337,319,,,,175,,1011,,2742,,799,
07:43:04.031,3,12731,,238,23,419,419,,3086,,419,997,0,340,318,,,,174,,1009,,2744,,799,
07:43:04.110,-3,12825,,239,24,416,416,,3086,,417,1003,1,341,319,,,,,46,1034,,2725,,796,
07:43:04.188,-6,12809,,241,23,414,414,,3085,,413,1006,0,339,320,,,,,47,1031,,2720,,796,
07:43:04.266,-10,12762,,240,24,412,412,,3086,,409,1010,1,339,,,,,,46,1043,,2718,,795,
07:43:04.344,-11,12778,,241,,411,411,,,,412,1011,0,338,,,,,,47,1038,270,2709,460,794,
07:43:04.422,-23,12809,,,,404,404,,,3261,404,1023,0,339,,,,,,,1045,269,2710,462,,
07:43:04.500,-23,12793,70,,,404,404,,,3262,402,1023,1,340,,,,,,,1051,269,2712,462,794,
07:43:04.531,-27,12762,71,,24,403,403,,,3262,404,1027,0,341,,,,,,,1057,270,2695,460,792,
07:43:04.594,-28,12809,,,23,402,402,,,3261,401,1028,,339,,,,,,,1048,,2708,,793,
07:43:04.672,-29,12809,,,24,399,399,,3086,3262,399,1029,,340,,,,,,,1055,270,2702,460,,
07:43:04.750,-29,12793,,,24,400,400,,3085,,400,1029,,340,,,,,,,1054,269,2710,462,793,
07:43:04.828,-27,12746,,,23,400,400,,3086,,399,1027,0,336,,,,,,,1032,,2720,,795,
07:43:04.906,-29,12778,,,,399,399,,3086,,399,1029,1,339,,,,,,,1048,,2714,,794,
07:43:04.985,-31,12778,,,,402,402,,3085,,401,1031,0,336,,,,,,,1028,,2729,,797,
07:43:05.063,-38,12762,,,,404,404,,3086,,403,1038,0,335,,,,,,,1025,,2725,,797,
07:43:05.141,-40,12809,,,,402,402,,,,402,1040,1,338,,,,,,,1043,,2718,,795,
07:43:05.219,-21,12746,,,23,,,,,,401,1021,1,334,,,,,,,1018,,2737,,798,
07:43:05.297,-16,12762,,,24,402,402,,,3262,402,1016,0,341,,,,,,,1054,,2714,,794,
07:43:05.375,-9,12809,,,23,399,399,,,3263,399,1009,0,335,,,,,,,1023,269,2708,462,797,
07:43:05.453,-10,12809,71,,22,399,399,,,3262,399,1010,1,332,,,,,,,1010,268,2743,464,799,
07:43:05.531,-12,12793,72,,23,404,404,,,3263,405,1012,0,334,,,,,,,1017,269,2738,462,799,
07:43:05.610,-13,12809,,,22,406,406,,,3263,408,1013,,332,,,,,,,1008,268,2750,464,800,
07:43:05.703,-5,12793,,,,406,406,,,3262,405,1005,,,,,,,,,1006,268,2746,464,,
07:43:05.781,-6,12778,,241,,407,407,,,3262,407,1006,,,320,,,,,47,1009,269,2742,462,,
07:43:05.860,-5,12762,,243,,415,415,,,3263,415,1005,,,323,,,,,46,977,268,2750,464,,
07:43:05.938,-6,12825,,,,414,414,,,3262,414,1006,,332,,,,,,,982,,2743,,,
07:43:05.969,-15,12699,,,,417,417,,,3263,415,1015,0,335,,,,,,,972,,2750,,,
07:43:06.016,-15,12715,,243,22,416,416,,,3262,416,1015,1,333,323,,,,,,974,,,,,
07:43:06.094,-5,12809,,240,23,416,416,,,3263,417,1005,0,334,320,,,,,,998,,2750,,800,
07:43:06.172,-5,12778,,240,23,413,413,,,,413,1005,,333,320,,,,,46,1009,,2744,,799,
07:43:06.250,-11,12809,,243,22,414,414,,,3263,415,1011,,332,322,,,,,47,987,,2743,,800,
07:43:06.328,-9,12825,,239,23,416,416,,,3264,417,1009,,336,319,,,,,46,990,,2746,,,
07:43:06.406,-15,12778,,242,22,418,418,,,3263,418,1015,,336,322,,,,,,977,,2750,,,
07:43:06.485,-15,12793,72,241,22,418,418,,,,419,1015,0,337,321,,,,,,984,,,,,
07:43:06.563,-16,12793,73,239,23,420,420,,,3263,419,1016,1,339,319,,,,,,996,268,2750,464,,
07:43:06.641,-37,12809,,242,22,419,419,,,3264,420,1037,0,337,322,,,,,,988,267,2743,466,,
07:43:06.719,-39,12778,,239,23,421,421,,,3263,419,1039,1,341,319,,,,,,985,267,2750,466,,
07:43:06.813,-21,12778,,,,422,422,,,3264,421,1021,0,342,,,,,,,987,268,2750,464,,
07:43:06.891,-26,12793,,239,,420,420,,,3264,421,1026,0,339,319,,,,,,993,267,2743,466,800,
07:43:06.969,-30,12809,,238,23,419,419,,,3263,419,1030,1,340,318,,,,,,1009,,2744,,799,
07:43:07.047,-52,12762,,238,24,419,419,,,3264,418,1052,0,342,318,,,,,,1019,,2750,,800,
07:43:07.078,-51,12778,,240,23,414,414,,,,415,1051,,341,320,,,,,,1040,,2738,,798,
07:43:07.141,-51,12731,,239,24,416,416,,,,414,1051,0,341,319,,,,,46,1034,,2725,,796,
07:43:07.235,-41,12793,,241,22,407,407,,,,407,1041,1,331,320,,,,,47,1000,267,2750,466,800,
07:43:07.313,-37,12778,,241,,412,412,,3086,,412,1037,0,331,320,,,,,,1000,266,2739,468,798,
07:43:07.391,-46,12778,,242,,410,410,,3087,3264,412,1046,,330,321,,,,,47,1004,267,2750,466,800,
07:43:07.485,-49,12825,73,241,22,412,412,,3086,3265,413,1049,,330,321,,,,,46,993,,2743,,800,
07:43:07.563,-43,12840,74,240,23,413,413,,,3264,413,1043,,333,320,,,,,46,1008,267,2744,466,799,
07:43:07.641,-41,12778,,241,,410,410,,,3264,410,1041,,337,,,,,,47,1033,266,2726,468,796,
07:43:07.719,-53,12731,,,,408,408,,,3265,408,1053,0,334,,,,,,,1017,267,2732,466,797,
07:43:07.797,-60,12778,,,,405,405,,,,406,1060,1,337,,,,,,,1044,266,2717,468,796,
07:43:07.875,-60,12778,,,,405,405,,,,405,1060,1,339,,,,,,,1043,,2718,,795,
07:43:07.953,-53,12793,,,23,408,408,,,,408,1053,0,334,,,,,,,1020,,2750,,800,
07:43:08.031,-52,12809,,,22,408,408,,,,408,1052,1,332,,,,,,,1007,,2745,,800,
07:43:08.110,-53,12809,,241,23,406,406,,,,404,1053,0,337,320,,,,,,1033,,2726,,796,
07:43:08.141,-63,12715,,242,22,408,408,,,,408,1063,,330,321,,,,,,993,,2732,,797,
07:43:08.219,-63,12746,,242,,409,409,,,,411,1063,,330,321,,,,,,998,,2740,,799,
07:43:08.297,-26,12825,,241,22,410,410,,,,410,1026,,335,320,,,,,,1024,,2748,,800,
07:43:08.375,-29,12684,,,23,409,409,,3086,,407,1029,,333,,,,,,,1010,,2743,,799,
07:43:08.453,-33,12668,,,,410,410,,3087,,411,1033,,334,,,,,,,1015,,2750,,800,
07:43:08.531,-33,12809,74,241,23,408,408,,3086,,409,1033,,333,320,,,,,,1015,,2739,,798,
07:43:08.610,-43,12746,75,243,22,409,409,,,3265,407,1043,,330,322,,,,,47,991,,2750,,800,
07:43:08.688,-42,12762,,240,23,413,413,,3086,3266,414,1042,0,334,320,,,,,46,1013,266,2741,468,799,
07:43:08.766,-74,12778,,241,24,407,407,,3087,,407,1074,1,341,,,,,,47,1055,265,2709,470,793,
07:43:08.844,-77,12699,,,22,406,406,,3086,,406,1077,,331,,,,,,,1004,266,2717,468,796,
07:43:08.922,-58,12699,,,23,411,411,,3086,,411,1058,1,335,,,,,,,1024,265,2742,470,800,
07:43:08.953,-60,12778,,,,406,406,,3087,,407,1060,0,338,,,,,,,1053,,2714,,795,
07:43:09.016,-60,12762,,241,,406,406,,3086,,406,1060,,337,,,,,174,,1034,,2711,,793,
07:43:09.094,-54,12762,,240,,407,407,,,,407,1054,,,,,,,173,,1031,,2720,,796,
07:43:09.172,-56,12778,,,,404,404,,,3266,405,1056,,337,,,,,,,1036,,2717,,796,
07:43:09.250,-33,12793,,,23,406,406,,,3267,405,1033,,333,,,,,,,1013,,2737,,799,
07:43:09.344,-43,12793,,,22,406,406,,,3266,406,1043,,332,,,,,,,1007,,2738,,798,
07:43:09.422,-43,12778,,,,408,408,,,,408,1043,,331,,,,,,,1002,265,2744,470,799,
07:43:09.500,-42,12809,75,,22,407,407,,3086,,407,1042,,333,,,,,,,1013,264,2741,472,799,
07:43:09.578,-60,12778,76,,23,406,406,,3087,,404,1060,,336,,,,,,,1026,265,2720,470,796,
07:43:09.656,-61,12778,,,22,409,409,,3087,,410,1061,,332,,,,,,,1008,265,2736,470,798,
07:43:09.735,-55,12793,,240,,408,408,,3086,3266,407,1055,0,332,320,,,,,,1007,264,2745,472,800,
07:43:09.844,-53,12731,,241,22,412,412,,3087,3267,412,1053,1,330,321,,,,,47,995,,2743,,,
07:43:09.938,-55,12762,,239,23,415,415,,,,415,1055,1,334,320,,,,,46,1001,,2750,,,
07:43:10.016,-39,12746,,240,22,,,,,,416,1039,0,333,321,,,,,,992,,2743,,,
07:43:10.094,-39,12793,,242,22,415,415,,,,415,1039,,332,323,,,,,,975,,2750,,,
07:43:10.172,-30,12746,,239,23,417,417,,,,417,1030,,336,320,,,,,,994,,2743,,800,
07:43:10.250,-28,12746,,239,23,414,414,,,,415,1028,,335,320,,,,,,1014,,2740,,799,
07:43:10.328,-21,12699,,242,22,414,414,,,,414,1021,,331,323,,,,,,976,264,2750,472,800,
07:43:10.438,-40,12731,,242,,417,417,,,,418,1040,,335,323,,,,,,968,262,,476,,
07:43:10.516,-41,12778,76,240,22,421,421,,,,421,1041,0,340,321,,,,,,968,262,2750,476,,
07:43:10.547,-36,12793,77,236,23,424,424,,3087,3267,424,1036,1,345,317,,,,,,992,264,2743,472,,
07:43:10.610,-51,12778,,,,424,424,,3086,3269,424,1051,0,345,,,,,,,996,262,2743,476,,
07:43:10.688,-53,12778,,236,,421,421,,3087,3269,422,1053,,342,317,,,,,,1000,262,2750,476,,
07:43:10.766,-39,12762,,239,,417,417,,3086,3267,417,1039,,336,320,,,,,,996,264,2750,472,,
07:43:10.844,-38,12778,,237,23,420,420,,3087,3269,420,1038,0,341,318,,,,,,1007,,2745,,,
07:43:10.922,-33,12809,,238,24,418,418,,,,419,1033,1,342,319,,,,,,1021,,2750,,800,
07:43:11.000,-34,12762,,239,23,414,414,,3087,3269,411,1034,0,339,320,,,,,46,1032,,2719,,796,
07:43:11.078,-65,12762,,240,24,412,412,,3086,3267,412,1065,,339,,,,,,47,1043,264,2741,472,799,
07:43:11.156,-66,12793,,,,407,407,,3087,3269,408,1066,,343,,,,,,,1062,262,2718,476,795,
07:43:11.235,-55,12793,,,,403,403,,,,404,1055,0,340,,,,,,,1051,,2712,,794,
07:43:11.313,-53,12762,,,,402,402,,,3269,401,1053,1,344,,,,,,,1075,,2701,,792,
07:43:11.391,-49,12731,,,,402,402,,,3270,402,1049,0,342,,,,,,,1060,,2691,,791,
07:43:11.469,-50,12762,,,,400,400,,3087,3269,400,1050,,341,,,,,,,1056,,2708,,793,
07:43:11.547,-66,12825,77,,24,396,396,,3086,,396,1066,,344,,,,,,,1085,,2687,,789,
07:43:11.625,-66,12731,78,,23,394,394,,3087,,393,1066,0,337,,,,,,,1045,262,2717,476,794,
07:43:11.703,-55,12746,,,,,,,,,394,1055,1,340,,,,,,,1059,261,2706,478,793,
07:43:11.781,-53,12762,,,,394,394,,,,395,1053,0,337,,,,,,,1045,,2697,,791,
07:43:11.860,-51,12825,,,,393,393,,,,394,1051,,340,,,,,,,1070,261,2702,478,792,
07:43:11.938,-53,12825,,,23,391,391,,,3269,392,1053,,340,,,,,,,1067,262,2698,476,791,
07:43:11.969,-52,12793,,,24,392,392,,,3270,392,1052,,341,,,,,,,1071,262,2694,476,790,
07:43:12.031,-52,12793,,,23,392,392,,,,390,1052,,338,,,,,,,1050,261,2713,478,794,
07:43:12.110,-53,12809,,,,393,393,,,,394,1053,,335,,,,,,,1034,,2725,,796,
07:43:12.141,-33,12793,,,23,396,396,,,,396,1033,,335,,,,,,,1033,,2720,,796,
07:43:12.250,-32,12746,,,22,396,396,,,,396,1032,,332,,,,,,,1014,,2740,,799,
07:43:12.328,-24,12762,,,23,400,400,,,,400,1024,0,335,,,,,,,1027,,2738,,798,
07:43:12.406,-21,12825,,,23,397,397,,,3270,397,1021,1,336,,,,,,,1032,,2726,,796,
07:43:12.485,-19,12809,,,22,398,398,,,3271,398,1019,0,332,,,,,,,1006,,2746,,800,
07:43:12.516,-19,12746,78,,23,402,402,,,3270,402,1019,0,335,,,,,,,1024,,2739,,798,
07:43:12.578,-21,,79,,23,402,402,,,,401,1021,1,339,,,,,,,1044,261,2732,478,797,
07:43:12.656,-11,12746,,240,22,400,400,,,3270,399,1011,0,334,,,,,173,,1017,260,2738,480,798,
07:43:12.735,-11,12809,,239,22,403,403,,,3271,404,1011,,333,,,,,172,,1012,,2739,,798,
07:43:12.813,-4,12825,,239,23,403,403,,,,404,1004,0,338,320,,,,,,1040,,2731,,797,
07:43:12.953,-11,12746,,240,22,405,405,,,,405,1011,1,330,321,,,,,,998,,2732,,,
07:43:13.031,-11,12778,,239,23,407,407,,,,406,1011,0,336,320,,,,,,1027,,2730,,797,
07:43:13.110,4,12121,,,24,402,402,,,,403,996,,338,,,,,,,1020,,2721,,795,
07:43:13.188,0,12058,,,23,405,405,,,,404,1000,,333,,,,,,,1015,,2739,,798,
